,Titulo,Precios,URL
0,Venda Elastica Autoadhesiva Kinesiologica,7.800,https://articulo.mercadolibre.com.co/MCO-550837677-venda-elastica-autoadhesiva-kinesiologica-_JM#position=6&search_layout=stack&type=item&tracking_id=7d5db3bd-23a0-45d2-a713-998d928e1bad
1,Cinta Kinesiologica Terapeutica Kinesiotape Skyd Amarillo Precortado,18.000,https://www.mercadolibre.com.co/cinta-kinesiologica-terapeutica-kinesiotape-skyd-amarillo-precortado/p/MCO26994219?pdp_filters=category:MCO179916#searchVariation=MCO26994219&position=1&search_layout=stack&type=product&tracking_id=7d5db3bd-23a0-45d2-a713-998d928e1bad
2,Cinta Kinesiologica Terapeutica Kinesiotape Skyd Rojo,18.000,https://www.mercadolibre.com.co/cinta-kinesiologica-terapeutica-kinesiotape-skyd-rojo/p/MCO27295790?pdp_filters=category:MCO179916#searchVariation=MCO27295790&position=2&search_layout=stack&type=product&tracking_id=7d5db3bd-23a0-45d2-a713-998d928e1bad
3,Cinta Kinesiologica Terapeutica Kinesiotape Skyd Morado,18.000,https://www.mercadolibre.com.co/cinta-kinesiologica-terapeutica-kinesiotape-skyd-morado/p/MCO27295785?pdp_filters=category:MCO179916#searchVariation=MCO27295785&position=3&search_layout=stack&type=product&tracking_id=7d5db3bd-23a0-45d2-a713-998d928e1bad
4,Venda Elastica Autoadhesiva Kinesiologica,7.800,https://articulo.mercadolibre.com.co/MCO-603688432-venda-elastica-autoadhesiva-kinesiologica-_JM#position=7&search_layout=stack&type=item&tracking_id=7d5db3bd-23a0-45d2-a713-998d928e1bad
5,Rollo De Cinta Kinesiologica Neuromuscular Kinesiotape,14.441,https://articulo.mercadolibre.com.co/MCO-960781205-rollo-de-cinta-kinesiologica-neuromuscular-kinesiotape-_JM#position=8&search_layout=stack&type=item&tracking_id=7d5db3bd-23a0-45d2-a713-998d928e1bad
6,Cinta Kinesiologica Terapeutica Kinesiotape Skyd Blanco,18.000,https://www.mercadolibre.com.co/cinta-kinesiologica-terapeutica-kinesiotape-skyd-blanco/p/MCO27295794?pdp_filters=category:MCO179916#searchVariation=MCO27295794&position=4&search_layout=stack&type=product&tracking_id=7d5db3bd-23a0-45d2-a713-998d928e1bad
7,Venda Elastica Autoadherente Kinesiologica,7.800,https://articulo.mercadolibre.com.co/MCO-1225013867-venda-elastica-autoadherente-kinesiologica-_JM#position=11&search_layout=stack&type=item&tracking_id=7d5db3bd-23a0-45d2-a713-998d928e1bad
8,Cinta Kinesiologicas Terapeutica Kinesiotape,18.000,https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=pyj8Xh0jLkB94nMu7nbV9D1Wbzp0dLpwmUTh67zxXT6Zb5jYW92OnoHWMMFyug%2FYeKCfiGRkAuVMN%2FY%2F9u3tQXrUx57uGBGa2teP%2BrIfYl%2FDKGa4DoiEXtE3i93EtQfHPWxj%2BEhPweDW%2F%2BVm%2BVP8yqR4bCrKrypx3410K572r9cQHIPP46QJhHIT5WPBv02TqiVD9x1nVTWe6oWZo8%2FRmuPS4rt2R1edx97V9wD9bqQK7LlLcZw94ToOPXgltMlLO3g8y8c5DBGwugjow08FtRx3kyYl9lolfUM4mQDl7BXU41Rs8AK4dalgQwYek4VbFHsCdwXd2szdA27qZgvoT0nNAMJCEARzKYwBcwRvTLSC0bEEKfOGZV0NiynE4GhF4cUYpcYHhXnqkaa16ZJDrFbIgppnPxSw15EyPPZ6CGiimc03JeW85PKNl3YCNPoK7WSpRVhXM%2BpNFeMbLUXTqcJqb1ukBvBZOM9yKzZtbd9EhGcJoXhxQd2Ur%2B1BSzJ0MRkMxZC80CK56Rz3j3AXgL0cQN0MkruDAE9hSxnx2keyY8jJlsY3DI74VSWXW2hfh1UEY3aNsu%2Bm%2BhSpeHLhDzPOEAr4WLsdaUH1FdNIMXrO7ViSXVjYshObaWkH1uhUKLa%2BAD4%2Bn8HE8EgiIW96rfxA6YX6vFwYbVvKU1%2BXj%2BCiNHXsmhIo%2F51km%2F33opkFBJ2SndYi&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fdifferential-cvr-factor%2B29495%2Cmclics%2Fsearch-list-ad-algorithm%2B16026%2Cmclics%2Fshow-pads-search-list%2B5146%2Cmclics%2Fshow-pads-global%2B5176&rb=x
9,Venda Elastica Autoadhesiva Kinesiologica,4.990,https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=W4tszLkfZ9IsWkOq6JF0QPkw1a%2Be5j9Qaza3cX%2BDAZoA6N0EZfq8Oz%2FpLwxsjykcb2oG4Pn4R%2FUNsa%2FnTFXchGEoYgxhNEyklbEz8RKvS0a68XYM%2F0vR5T9JAJy9D6TCLdVSH7%2BU0nNoeHtQt53ldw0Ju54gtXp5ZZth6dWMwr389be%2F7WbjK0kAoa%2BbeEUp22mrT9AzNFbYXAOFacB8Ii7fSznlCnTYglnGvKJmH5uG4Nf9Vl5YMB0gcPuKS%2BsS0rOYbbZcjrWZ4wRu2ejmGkbELlJXI1GOU%2F%2BNo4gtt6FVTOhGqu9YWdm%2FMWJJnrT9JFnpW0aIc07fQHe1pdhmEKM78YhFFqtaA5c4KoIAFlfuCuCwcoSK%2FAfENs0Xpz7gI1v%2BxEgrt8PA6jvJQfMh0hqTlsRwV%2BZTX2DeowLuwyoGk64n%2FSIjijmRqqfLqwcJyKGoCvITtmUfmcW0tmS8T9kuBqmFnmpMXwCJwC%2BirlA7P0H9QcBUJtL0G3xar8ircOt8lvjwXk9fw3kO9Q2kTqd6%2FlCf%2BabrBkVUhN9FY592u3cC9EASzriewr4yK5h6s6j7h0A1gDWmpE9rot6zKU6tYzlkPYzDuzqFZK%2B4vbRpha8QSbJ7aoWLAx2MOIb3MM7benaeXhFQLV%2FoDuwLSWe8BCFBST%2BMKCjSWMHF%2BNZypqExnYNpF%2B5K52VgpXM6o6RJfAWxaA%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fdifferential-cvr-factor%2B29495%2Cmclics%2Fsearch-list-ad-algorithm%2B16026%2Cmclics%2Fshow-pads-search-list%2B5146%2Cmclics%2Fshow-pads-global%2B5176&rb=x
